Producto,Medidas,Linea
CIVTEST SUIS APP,"




5 (divididas en tiras de 8 pocillos)

2 fcos x100mL. 

1 fcos x100 mL

1 fcos x30 mL



1 fcos x30 mL

1 fcos x30 mL

1 fcos x2.2 mL

1 fcos x2.2 mL
",Porcinos
COXABIC,"

Minimo 2 ug",Aves
NOBILIS SALENVAC ,"

2x10  9 Celulas",Aves
HIPRAVIAR TRT,"


≥10 6 DICT 50",Aves
CANVAC R 2 UI,"

2 UI de valor antigenico*
0.1 mg.
1.4 mg.","Caninos, Felinos, Zorros, Bovinos, Ovinos, Caprinos, Porcinos y Equinos"
KIT PARA ANALISIS DE ANTICUERPOS PARA INFECCION BURSAL O GUMBORO AVIAR IBD,"



5 unid



1.9 mL.

1.9 mL.

50 mL.

235 mL.

60 mL.
60 mL.







",No informa
KIT DE ELISA PARA LA DETECCION DE ANTICUERPOS CONTRA EL VIRUS DE LA INFLUENZA AVIAR IA,"





5 unid







1.9 mL.



1.9 mL.



50 mL.



235 mL.



60 mL.

60 mL.
",Aves
KIT ELISA DE ANALISIS DE ANTICUERPOS DE VIRUS DE ANEMIA DE POLLO CAV,"



5 unid

2 mL.



2 mL.



50 mL.



235 mL.



235 mL.


60 mL.
60 mL.
",Aves
KIT DE ELISA PARA LA DETECCION DE ANTICUERPOS CONTRA EL MYCOPLASMA GALLISEPTICUM MG,"



5 unid

1.9 mL.



1.9 mL.



50 mL.



235 mL.



60 mL.



60 mL.
",Aves
KIT PARA ANALISIS DE ANTICUERPOS CONTRA EL VIRUS DE NEWCASTLE NDV,"



5 unid

1.9 mL.


1.9 mL.


50 mL.


235 mL.

60 mL.
60 mL.



",Aves
KIT ELISA PARA LA DETECCION DE ANTICUERPOS DE VIRUS DEL SINDROME Y RESPIRATORIO PORCINO PRRS,"



5 unid

1.9 mL.


1.9 mL.


50 mL.


235 mL.


235 mL.
60 mL.
60 mL.



",Aves
KIT ELISA PARA LA DETECCION  DE ANTICUERPOS CONTRA EL REOVIRUS AVIAR REO,"


5 unid
1.9 mL.


1.9 mL.



50 mL.



235 mL.



60 mL.
60 mL.
",Aves
CORIPRAVAC AH,"


≥5 x 10 9 UFC
≥5 x 10 9 UFC
≥5 x 10 9 UFC",Aves
HIPRASUIS GLASSER ,"


≥2x10 10 microorganismos
≥2x10 10 microorganismos",Porcinos
HIPRATIFUS AV2,"

≥2.5x10 9.0 microorganismos*
≥2.5x10 9.0 microorganismos*",Aves
NOBIVAC LEPTO,"

≥625 Unidades
≥957 Unidades",Caninos
POULVAC BRON H 120,"

10 2.0 DIE 50",Aves
Poulvac I N La Sota,"


10 8.0 DIE",Aves
CEVAC IBD L,"

Minimo 10 2.0 DIE 50",Aves
KIT DE ANÁLISIS DE ANTICUERPOS CONTRA BRONQUITIS AVIAR,"                                 5 
1.9 mL.
1.9 mL.
50 mL. 
235 mL.
60 mL.
60 mL.",Aves
KIT DE ANÁLISIS DE ANTICUERPOS PARA MYCOPLASMA HYOPNEUMONIAE,"                                5 
4 mL. 
4 mL.
60 mL.
235 mL.
60 mL. 
60 mL.",No informa
MBL FC 3,                                10⁸·⁵ UFC         10⁸·⁵ UFC                       10⁸·⁵ UFC                                      ,Aves
PROMACTYL 200,"

200 mg.","Bovinos, Porcinos, Ovinos, Caprinos y Caninos"
Fel-O-Vax LvK IV + CaliciVax,"

RP≥1.0
RP≥1.0
RP≥1.0
RP≥1.0
RP≥1.0
RP≥1.0",Felinos
Volvac ND+IB KV,"


10 8.2 DIEP 50
10 8.7 DIEP 50",Aves
Volbac AC Gold + ND + IB + EDS KV,"


10 8.0 UFC o 10 8.0 DIEP 50
10 8.0 UFC o 10 8.0 DIEP 50
10 8.0 UFC o 10 8.0 DIEP 50
10 8.2 DIEP 50
10 8.2 DIEP 50
1000 UHA",Aves
Fel-O-Vax LvK/FIV,"

≥ 2.5 Dosis equivalente
≥ 12.5 Dosis equivalente
≥ 2.5 Dosis equivalente",Felinos
VITALIKC,"

10 mg.
10 mg.","Bovinos, Ovinos, Caprinos, Equinos, Porcinos, Caninos y Felinos"
COLISUIN - CL,"                         ≥ 3,28x10³ UHA
≥3,28x10³ UHA
 ≥ 1,6x10² UHA
≥ 6,4x10¹ UHA
≥ 3,2x10¹ UHA                        
                          ",Porcinos
BURSA GUARD REO,                                    Mín:10⁶·⁹⁷ DIE₅₀                               Mín:10⁶·²¹ DIE₅₀                                 Mín:10⁷·³⁹ DIE₅₀                          Mín:10⁴·⁵ DIE₅₀                                Mín:10⁴·⁷ DIE₅₀                        ,Aves
VACUNA SÍNDROME REPRODUCTIVO BOVINO,"                                        ≥ 10⁷·⁵ DICC₅₀
≥ 10⁶·⁵ DICC₅₀
≥ 10⁶·⁵ DICC₅₀
≥ 10⁶·¹ DICC₅₀ 
≥ 10⁶·¹ DICC₅₀
5x10⁸UFC
5x10⁷UFC
1x10⁸UFC
1x10⁹UFC
1x10⁸UFC
5x10⁸UFC
Menor a 0,2%
3,5 mg
",Bovinos
ERYCELL,"                                     1.0 mL                    2,0 x 10⁹UFC",Porcinos
FIRST DOSE CPV + CORONA – VIRUS,"


10⁵·¹ TCID₅₀
1.813 Unidades ELISA
",Caninos
IVERMECTINA 1% SOLUCIÓN INYECTABLE,                              10 mg,Bovinos  y porcinos
AVA:TREM,,Aves
OL-VAC B+G,"                               ≥10⁸·⁵EID₅₀
≥10⁷·⁵EID₅₀
≥10⁵·⁵EID₅₀
                               0,05 mg                                      0,5 ml                                   ",Aves
IB-OLVAC,"                                 ≥10⁸·⁵EID₅₀
≥10⁷·⁵EID₅₀
0,05 mg                         ",Aves
VACUNA CONTRA LA ENFERMEDAD DE MAREK - VVMD VAC. CONGELADA,                           1.500 U.F.P.             4.000 U.F.P.,Aves
NOBI – VAC CORIZA,"


    3 x 10⁸",Aves
CASTLEVAC K,"


 10⁹·⁵ DIE₅₀",Aves
"VACUNA NEWCASTLE TIPO B1 CEPA B1, VIRUS VIVO","


   10⁶·⁰ DIE₅₀ ",Aves
CEVA BROILER ND K,                                      5 log 2 Hl mínimo 50PD₅₀,Aves
PEDICAN CHAMPÚ,"                                    0,5 g",Caninos y felinos
GO - TICK,                                 ≥1000µg /dosis                     ,Bovinos
SALMOBAC SE - SG,"                            


2x10⁸UFC/mL         
 2x10⁸UFC/mL",Aves
SALMOBAC SE,                                    2x10⁸ UFC/mL,Aves
POULVAC NEWCASTLE LASOTA+BRON H120,"                                     10⁷·⁰EID₅₀/ml   
 10⁴·⁰EID₅₀/ml                                          ",Aves
ANTITOXINA TETANIC,"                                   Mínimo 300 UI (Unidades
Internacionales)","Bovinos, equinos, ovinos, caprinos, porcinos, caninos y felinos "
POULVAC SE-ND-IB,"≥2,0x10¹¹ UFC/mL                         ≥2,0x10¹¹ UFC/mL                   ≥2,0x10¹¹ UFC/mL                   ≥2,52x10⁹ DIE₅₀/mL                      ≥3,16x10⁸ DIE₅₀/mL                    ",Aves
POULVAC BURSA F,                                    Mínimo10²·³DIE₅₀/dosis,Aves
SVANOVIR Brucella-Ab C-ELISA,"



10

1 frasco

1 frasco

1 frasco
1 frasco
1 frasco

1 frasco
1 frasco

2 frascos
2 frascos
",Bovinos
NOBI-VAC PUPPY DP,"

10 5 DICC
10 7 DICC",Caninos
VOLVAC NO MLV B1,"

10⁷﮲⁰DIEP₅₀",Aves
SERELISA PCV2 Ab Mono Blocking,"


4 microplacas de 12 tiras por 8 pozos
1 frasco por 200 mL.
1 frasco por 100 mL.
1 frasco por 5 mL.
1 frasco por 5 mL.
1 frasco por 50 mL.
1 frasco por 0.7 mL.
1 frasco por 50 mL.
1 frasco por 25 mL.
12 piezas",Porcinos
SERELISA BHV-1 gB Ab Mono Blocking,"


4 microplacas de 6 tiras por 16 pozos

1 frasco por 200 mL.

1 frasco por 100 mL.

1 frasco por 5 mL.

1 frasco por 5 mL.

1 frasco por 50 mL.

1 frasco por 2 mL.

1 frasco por 50 mL.

1 frasco por 25 mL.

12 piezas
",Bovinos
BACUNA ANTIBRUCELICA,"

15-30 x 10 9 UFC",Bovinos
VECTORMUNE HVT IBD,"


≥4440 UFP",Aves
VECTORMUNE HVT NDV,"


≥3420 UFP",Aves
VACUNA MYCOPLASMA GALLISEPTICUM Cepa F,"

≥10 7.2 UCC",No informa
BIODIPT WP,"

5x10 9 Esporas /g.
2x10 9 Esporas /g.
3x10 9 Esporas /g.","Bovinos, Porcinos y Aves"
Providean CLOSTRIDIAL 5 + BOTULISMO,"


20% (≥1x10 9 Bact/dosis)
20% (≥8x10 9 Bact/dosis)
10% (≥2x10 9 Bact/dosis)
10% (≥2x10 9 Bact/dosis)
15% (≥10 5 Bact/dosis)
15% (≥10 5 Bact/dosis)
","Bovinos, Ovinos y Caprinos"
Providean ANTIRRABICA,"


≥10 7.5 DL 80 RL",Bovinos y Equinos
Anigen Rapid FIV Ab/FaLV Ag Test Kit,"



5         10
1 Botella con 3 mL.l Botella con 6 mL.
5          10
5 Botellas. 10 Botellas
1            1",Felinos
Poulvac E coli,"


≥6.5 x10 6 CFU",Aves
CLOSTRIMAX P,"


≥5x10 9 Bacterias
≥5x10 9 Bacterias
≥200 DL 50
≥500 DL 50
≥500 DL 50
≥500 DL 50
≥2x10 9 Bacterias
≥2x10 9 Bacterias
≥5x10 9 Bacterias
≥2x10 9 Bacterias
≥1x10 9 Bacterias
≥1x10 9 Bacterias
≥1x10 9 Bacterias",Bovinos y Ovinos
ULTRA CORN,"


40 mg.","Aves, Bovinos, Ovinos y Caprinos"
POULVAC Newcastle B1 + Bron M41,"
≥10 6.0 EID 50
≥10 3.8 EID 50",Aves
Newcastle Lasota + Bron Mass,"

≥1x10 6.0 EID 50
≥1x10 3.5 EID 50
1 dosis.",Aves
POULVAC SE," 

PR≥1.0
PR≥1.0
PR≥1.0",Aves
OBSERVE TUBERCULINA PPD AVIAR,"

25000 U.I",Bovinos
POULVAC BRON M41,"

≥10 3.8 EID 50",Aves
POULVAC i MS,"


≥1000 UFP",Aves
CEVAC TRANSMUNE,"

Minimo 0.1 CID 50",Aves
FRESH STEP ULTRA UNSCENTED CAT LITTER,"

77.68 g.
20 g.
0.75 g.
0.5 g.
0.55 g.
0.27 g.
0.25 g.
",Felinos
PORCILIS PORCOLI DF,"


Titulo de AC1≥9.0 LOg2
Titulo de AC1≥5.4 LOg2
Titulo de AC1≥6.8 LOg2
Titulo de AC1≥7.1 LOg2
Titulo de AC1≥6.8 LOg2",Porcinos
Anigen Rapid E. canis Ab Test kit,"


10 Dispositivos
1 Botella por 3 mL.
10 Tubos
10 tUBOS
1",Caninos
ASUNTOL SÁBILA JABÓN,"



1 g",Caninos
NOBI VAC DH₂PPI,"

10³TCID₅₀
10³PFU
10⁷TCID₅₀
10⁵PFU

",Caninos
CASTLEBRON k,"

10 9.0 DIE 50
10 7.0 DIE 50",Aves
NOBILIS RISMAVAC,"

≥3.0 log 10 DICC 50",Aves
GUMBORO LZD,"


10 DICC",Aves
VACUNA NEW CASTLE OLEO 100 INMUNER,"

10 DIE ",Aves
NOBILIS IB H120,"


10 3.8 DIE 50",Aves
NOBI VAC GUMBORO + ND (OLEOSA),"

10 7.1 TCID 50
10 8.8 TCID 50

",Aves
CANIGEN MHA2 PPI/L,"




10 3 DICP 50
300 3 DICP 50

10 5 DICP 50
10 5 DICP 50



800x10 6 bacterias
800x10 6 bacterias

",Francia
CANIGEN MHA2 PPI/LR,"



10 3 DICP 50
300  DICP 50

10 5 DICP 50
10 5 DICP 50



800x10 6 germenes
800x10 6 germenes
1 U.I.",Caninos
CANIGEN MHA2 L,"



10 3 DCIP 50
300 DCIP 50



800x10 6 germenes
800x10 6 germenes",Caninos
VACUNA NEWCASTLE B1 INMUNER,"

10 6.0 DIE 50",Aves
NOBI VAC RED + IB + G + ND,"


10 8.8 DIE 50
10 6.6 DIE 50
10 7.1 DIE 50
10 6.6 DIE 50",Aves
POLYVAC 6,"

10 3.0TCTD 50

10 4.0TCTD 50

10 3.0TCTD 50
10 3.0TCTD 50
2.0 x 10 8.0
1.5 x 10 8.0
",Caninos
ALBENTALIF,"

200 mg.","Bovinos, Ovinos y Caprinos "
MASTIPROBIOL H,"

10-6
10-6
10-6
10-6
10-6
10-6
10-6
10-6
10-1
10-1
10-1
10-1
10-1
10-1
10-1
10-1
20 g.",Bovinos
GALAXY DA2 PPVL,"

10 3.1 TCID 50
10 4.6 TCID 50
10 5.3 TCID 50
10 6.5 TCID 50
1.2 x 10 8.0",Caninos
EUBIOL,"
Minimo 100000 millones (100x10 14) UFC
Minimo 100000 millones (100x10 10) UFC
Minimo 100000 millones (100x10 10) UFC
Minimo 100000 millones (100x10 10) UFC
Minimo 100000 millones (100x10 10) UFC
Minimo 100000 millones (100x10 10) UFC",Toda especie
FELIGEN C.R.P.,"

10 3.0 DICP 50
10 5.0 DICP 50
10 4.1 DICP 50

",Felinos
NEGUVON N.F.,"

1.0 g.",No informa
RISVAC,"

1.000 U.F.P.",No informa
NOBILIS IB + ND,"

10 8.8 DIE 50
10 6.6 DIE 50",Aves
RABVAC TM 3 TF,"

10 7.0 FAID 50/mL.","Caninos, Felinos y Equinos"
DIFTERO VIRUELA INMUNER,"


10 3.0 DIE 50",Aves
NOBI VAC TRICAT,"

10 4.5 U.F.P
10 4.5 U.F.P
10 4.5 DICC",No informa
WINBAC COLERA AVIAR,"


10 8.0 UFC
10 8.0 UFC
10 8.0 UFC",Aves
MAXIMUNE IBD,"

10 5.1 DIE 50
10 4.1 DIE 50
10 4.7 DIE 50",Aves
BIO NEW IB,"

10 9 DIE 50
10 6.7 DIE 50",Aves
LAIVAC B1,"

10 8.5 DIE 50/mL.
10 8.7 DIE 50/mL.
",Aves
LAYERMUNE 5,"

≥10 5.01 DIE 50
≥10 9.1 DIE 50
≥10 6.4 DIE 50",Aves
TOPICO LELVE,"

1.5 g.
4.0 g.
2.0 mL. 
","Bovinos, Equinos, Caninos y Felinos"
ODOR-NONE,"

300 g.
1.0x10 6 C.F.U.
46.000 U.I
110.000 U.I
120.000 U.I
15.000 U.I",Porcinos y Aves
,"                           5.000.000 UI          500.000 UI                          5.000 UI             20 g                    1 g                          2 g                                   1,5 g                  5 mg                      15 g                         5 g                           2 g                        ",Aves
"VACUNA CONTRA LAS ENFERMEDADES DE NEWCASTLE Y BRONQUITIS INFECCIOSA TIPO B1, CEPA B1 Y TIPO MASSACHUSETTS, VIRUS VIVOS.",                                10⁶·⁰DIE₅₀         10³·⁰DIE₅₀                                                                                ,Aves
"VACUNA CONTRA LAS ENFERMEDADES DE NEWCASTLE Y BRONQUITIS INFECCIOSA TIPO B1, CEPA LA SOTA Y TIPO MASSACHUSETTS, VIRUS VIVOS.",                              10⁶·⁰DIE₅₀         10³·⁸DIE₅₀                        ,Aves
VACUNA CONTRA LA ENFERMEDAD DE MAREK Y GUMBORO-VIRUS VIVO,4.000 UFP/dosis                                          10⁴·⁵DICC₅₀/mL         ,Aves
VACUNA CONTRA LA ENFERMEDAD DE MAREK HVT-SB₁ VIRUS VIVO,                             4.000 UFP         1.000 UFP,No informa
BI-VAC 1,,No informa
POULVAC OVOLINE HVT+BURSINE 2,"                            ≥4.000 UFP/dosis
≤10³·⁸DICC/dosis
",Aves
OLVAC A+B,"                          ≥10⁸·⁵ DIE₅₀

≥10⁷·⁵ DIE₅₀

≥10⁷·⁵ DIE₅₀ ",Aves
OL-VAC A + G,"                          ≥10⁸•⁵ DIE₅₀

≥10⁷•⁵ DIE₅₀
≥10⁵•⁵ DIE₅₀ 

",No informa
AFTOVAC AP-250/VACUNA ANTIAFTOSA OLEOSA AP-250,                                                           1.5 mL,Bovinos
PORCIVAC DOBLE EMULSIÓN,                                    1.0 mL                        0.90 mL                     0.10 mL,Bovinos
VITAPLUS HL INYECTABLE,"                                             15. 000 U. I.
1. 000 U.I.
20.0  mg 
10.0  mg 
3.0 mg 
5.0 mg 
35.0 mg 
25.0 mg 
50.0 mcg ","Bovinos, equinos, ovinos , caprinos, porcinos, caninos y felinos "
"EQUIPEN 3:3, 6:6, 8:8.","                                150.000 UI
150.000 UI
300 mg ",Equinos
SERELIZA DVB/BD Mono Blocking,"


4 microplacas de 6 tiras de 2x 8 pozos

1 frasco por 200 mL.

1 frasco por 100 mL.

1 frasco por 5 mL.

1 frasco por 5 mL.

1 frasco por 50 mL.

1 frasco por 0.7 mL.

1 frasco por 50 mL.

1 frasco por 25 mL.

12 piezas
","Bovinos, Ovinos y Caprinos"
COLERA AVIAR,,Aves
MICOZUR 300,"

30 g.",Bovinos
Poulvac Aero,"

≥10 6.6 DIE 50
≥10 3.8 DIE 50",Aves
VACUNA ESTOMATITIS 3 mL,"
≥10 ⁶˙⁵ DICT₅₀/ mL
≥10⁶˙⁵ DICT₅₀/ mL",Bovinos
FELIGEN CRP,"


10 4.6-10 6.1 DICC 50
10 5.0-10 6.6 DICC 50
10 3.7-10 4.5 DICC 50",Felinos
POULVAC PABAC IV,"


≥2.0 x 10 6 UFC
≥3.3 x 10 6 UFC
≥2.0 x 10 6 UFC
≥2.0 x 10 6 UFC",Aves
AVIPRO THYMOVAC ,"

10 4.5 -10 5.5 DCIT 50",Aves
AVIBLUE,"

17.8 g.
9.0 g
2.0 g.
18.0 g.
5.0 g.
2.0 g.
10.0 g.",No informa
Bronchicine CAe,"

≥3x10 8 celulas",Caninos
MIXIBAC Pasteurella-Salmonella SE-ST,"


2x10 7 UFC/mL
2x10 7 UFC/mL
2x10 7 UFC/mL
2x10 8 UFC/mL
2x10 8 UFC/mL",Aves
MYCOBAC GS,"


1x10 7 UFC
1x10 7 UFC",Aves
PASMUBAC HG,"


2x10 7 UFC
2x10 7 UFC
2x10 7 UFC",Aves
MILCOMPLEZ,"

750 mg.
600 mg.
300 mg.
5000 u.g
200000 U.I
9000 U.I
210 mg.
422 mg.
200 mg.
210 mg.
210 mg.
1000 mg.
50 mg.
200 mg.
210 mg.
10 mg.
1500 mg.
15 mg.
100 mg.
2 mg.
50 mg.
490 mg.
","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Felinos y Caninos"
FELIGEN CRP/R,                               10⁴·⁶-10⁶·¹DICC₅₀                                  10⁵·⁰-10⁶·⁶DICC₅₀                         10³·⁷-10⁴·⁵DICC₅₀                         ≥1 UI,Caninos
CEVAC MG F,                                      ≥10⁶·⁰UCC,Aves
CLOSTRIGAN BOTULINUM,                                                 ,Bovinos
,,Bovinos y ovinos
VAUNA ANTICARBUNCLO,                                9 - 15x10⁶ esporos,"Bovinos, equinos, ovinos y porcinos. "
TUBERCULINA PPD BOVINA,                                  1 mg/ml(32500 UI),Bovinos
VACUNA VIRAL RESPIRATORIA,"                              ≥ 2 X 10⁷DICT ₅₀%
≥ 6 x 10⁶DICT ₅₀%
≥ 1 x 10⁸DICT ₅₀%
≥ 1 x 10⁴DICT ₅₀%
≥1 x 10⁹bacterias
≥ 1 x 10⁸bacterias 
≥ 1 x 10⁸bacterias
",Bovinos
CANIGEN MHA2 L,"                               10³ a 10⁵ DICC₅₀
10⁴ a 10⁶ DICC₅₀
833x10⁶ bacterias
833x10⁶ bacterias
",Caninos
CANIGEN MHA2PPI/ LR,"10³ a 10⁵ DICC₅₀
10⁴ a 10⁶ DICC₅₀
10⁵ a 10⁷ DICC₅₀
10⁵ a 10⁷DICC₅₀
833x10⁶ bacterias
833x10⁶ bacterias
≥ 1 UI.
",Caninos
SALMOBAC SE-ST,"                                 2x10⁸UFC/mL
2x10⁸UFC/mL
2x10⁸UFC/mL
",Aves
TUBERCULINA PPD AVIAR,                             25000 UI,Bovinos
TUBERCULINA PPD BOVINA,                             25000 UI,Bovinos
CANIGEN KC,"                                0,05 µg                     10⁶DICC₅₀ ",Caninos
TRYBAC SE,De 2 X10⁸UFC           De 2 X10⁸UFC     De 2 X10⁸UFC  De 2 X10⁷UFC De 2 X10⁷UFC De 2 X10⁷UFC De 2 X10⁸UFC,Aves
CARBOBAC FL,                               De 2 a 20 X10⁶ UFC por dosis,"Bovinos, equinos, ovinos, caprinos y porcinos."
AVIPRO ND-IB SOHOL,                                 10⁵·⁵DIE₅₀                     10²·⁷DIE₅₀,Aves
POULVAC IN+B,"                          ≥6,3x10⁷·⁰DIE₅₀  ≥7,9x10⁶·⁰DIE₅₀                                           ",Aves
D-TEC-CB,"                                 1 frasco con 2,5 mL                              1 frasco con 1, 3 mL                           1 frasco con 2,5 mL                      13                               25                                25                            1     ",Caninos
FARROWSURE GOLD B,"                             ≥ 640 UH
≥ 1200 UH
≥ 1200 UH
≥ 1200 UH
≥ 1200 UH
≥ 1200 UH
≥ 2400 UH
27 UR -3,2 UO
                                                           ",Porcinos
POULVAC BURSA F,                                Mínimo10²·⁰DIE₅₀/dosis         ,Aves
ESTOMATITIS+RABIA 3 ml,                                ≥ 10⁶·⁵DICT₅₀/mL  ≥ 10⁹·⁰DICT₅₀/mL                ,Bovinos
HEXAGAN RABIA,"                                             1x10⁹UFC                 ≥2.5 UI                5x10⁹UFC                6x10⁹UFC                 1x10⁹UFC                        25 µg de glicoproteina
",Bovinos y ovinos 
BOTUBAC FL,                           10⁵DL₅₀                      10⁶DL₅₀,"Bovinos, ovinos y caprinos"
VECTORMUNE FP-LT,"

≥10 3.2 TCID50 a la lioberación 
≥10 2.7 TCID50 a la expiración 
",Aves
LEUCOGEN,"

102 ug.",Felinos
UNIVAX BD,"

≥10 2.3 TCID 50",Aves
NOBIVAC TRICAT TRIO,"

Minimo 5.2 Log 10 UFP
Minimo 4.3 Log 10 DIC 50
Minimo 4.6 Log 10 UFP",Felinos
BOVITUBER PPD,"

20000 U.I",Bovinos y Bubalinos
AVITUBER,"

25000 U.I",Bovinos y Bubalinos
SEPTOBAC BOVINO,"


Minimo 1.0x10 9.0 UFC
0.25 U de leucotoxina","Bovinos, Porcinos, Ovinos y Caprinos"
TRYBAC HG,"


2x10 8 UFC
2x10 8 UFC
2x10 8 UFC
2x10 7 UFC
2x10 7 UFC
2x10 7 UFC
2x10 8 UFC
2x10 8 UFC",Aves
PASMUBAC Haemolab,"


2x10 7 UFC/mL
2x10 7 UFC/mL
2x10 7 UFC/mL",Aves
SALMOBAC T4,"


2x10 8 UFC/mL
2x10 8 UFC/mL
2x10 8 UFC/mL
2x10 8 UFC/mL",Aves
LECTOBAC FL,"


1x10 9 Bacterias
1x10 9 Bacterias
1x10 9 Bacterias
1x10 9 Bacterias
1x10 9 Bacterias
1x10 9 Bacterias
1x10 9 Bacterias
1x10 9 Bacterias
","Bovinos, Equinos, Ovinos, Caprinos y Porcinos"
PORCILIS AR-T-DF,"

4 ug*
10 10*",Porcinos
PORCILIS M Hyo ID Once,"

1.0 PCVU* induciendo ≥ 6.5 log2 Titulo de anticuerpos",Porcinos
INMUNOCOMB FCoV (FIP) Kit para deteccion de Anticuerpos,"

1-10
1-10
1
1
1
1",Felinos
BIOLEPTOGEN ,"

≥1.2x10 10 Bacterias 
≥1.7x10 7 Bacterias 
≥1.7x10 7 Bacterias 
≥1.7x10 7 Bacterias 
≥1.7x10 7 Bacterias 
≥1.7x10 7 Bacterias 
≥1.7x10 7 Bacterias ",Bovinos y Porcinos
SPIROVAC L5,"


≥1200 UN
≥1200 UN
≥1200 UN
≥1200 UN
≥10 9 Bacterias",Bovinos
BOVILIS MULTICLOS,"

≥0.5 U.I
≥1.0 U.I
≥2.5 U.I
≥10.0 U.I
≥2.0 U.I
≥0.125 U.I
≥0.150 U.I","Bovinos, Ovinos, Caprinos y Suinos"
BOVILIS POLISTAR + T,"

≥ 0.5 U.I
≥ 2.5 U.I
≥ 1.0 U.I
≥ 2.5 U.I
≥ 10.0 U.I
≥ 2.0 U.I
≥ 5. 0 U.I
≥ 2.0 U.I
≥ 0.125 U.I

","Bovinos, Ovnos y Caprinos"
CÓLERA CORIZA  NEWCASTLE VACUNA EMULSIONADA,"                           0.04 mL
0.04 mL
0.04 mL
0.04 mL
0.04 mL
0.04 mL
0.12 mL",Aves
KIT PARA LLA DETECCIÓN DE AC DE BRUCELLA ABORTUS ENSAYO POR POLARIZACIÓN DE FLUORESCENCIA (BRUCELLA ABORTUS ANTIBODY TEST KIT),"                                  1 frasco por 1 mL
1 frasco por 1 mL
1 frasco por 50 mL
1 frasco por 10 mL",Bovinos
MD Vac CVI-988,                             ≥ 1500 UFP,Aves
CHICK-N-K,                                    ≥10⁷·⁰DIE₅₀,Aves
MG BAC,                                                       ≥1000 UFC/dosis,Aves
BOVILIS IBR MARKER,"                                    5.7 log₁₀TCID₅₀
",Bovinos
RECOMBITEK C4,                              ≥10⁶·⁴DICC₅₀ ≥10⁴·³DICC₅₀ ≥10³·⁹DICC₅₀ ≥10³·³DICC₅₀,Caninos
CLOSTRIMAX P-B TRADICIONAL,"                                                                ≥5x10⁹bacterias
≥5x10⁹bacterias
≥200 DL₅₀
≥500 DL₅₀
≥5000 DL₅₀
≥2⁹bacterias
≥2⁹bacterias
≥5⁹bacterias
≥2⁹bacterias
≥250000 DL₅₀
≥500000 DL₅₀
≥1 X10⁹bacterias
≥1 X10⁹bacterias
≥1 X10⁹bacterias
",Bovinos y ovinos
RHABDO LAB FL,                             1 UI/ dosis,Bovinos
CLOSTRIBAC T,"                                   Mínimo 2.5 UI antitoxina
Mínimo 2.0 UI antitoxina
Mínimo 0.5 UI antitoxina
Mínimo 1.0 UI antitoxina                    5 x10⁹UFC                 27 LF (equivalente a un mínimo de 150 UI)                     5 x10⁹UFC
                ",Bovinos ovinos y caprinos 
CLOSTRIBAC B,Mìnimo 2.5 Ul antitoxina                 Mìnimo 2.0 Ul antitoxina         Mìnimo 0.5 Ul antitoxina                   Mìnimo 1.0 Ul antitoxina                              5x10⁹UFC               10-5 DL/ mL                                   10-6 DL/mL              5x 10⁹UFC                                                                                         ,"Bovinos, ovinos y caprinos"
AE VAC,≥ 10³·⁹EID₅₀,Aves
INGEZIM PRRS AMERICA,                                  2 placas (2x8x12) y 5 placas (5x8x12)                       1 frasco por 125 mL                    1 frasco por 125 mL                            1-2 viales por 4 mL                           1-2 viales por 4 mL                            1-2 viales por 350 mL                            1 frasco por 125 mL                     1 frasco por 6.5 mL                            1 frasco por 35 mL                             1 frasco por 35 mL                                       4                                            1                                                                                             ,Porcinos
LACTOFUR,                             10 g,Bovinos y porcinos 
TOTAL F CG PERROS Y GATOS,"

2 g
5 g","Caninos, felinos"
NOBILIS SG 9R,"



> 2 X 10 7 UFC",Aviar
PHIVAX ETI,"≥ 3,3 x 107 UFC/ Dosis
≥ 3,3 x 106 UFC/ Dosis ≥ 3,3 x 107 UFC/ Dosis
≥ 3,3 x 107 UFC/ Dosis        
",Aviar
KUBIK SOLUCIÓN INYECTABLE,"
40 mg                                                     100 mg                                                   150 mg                                                    15 μg","Bovinos, equinos, caninos"
PHYVERMEC-EQUI NF,"

1,87 g
7,75 g",Equinos
SPINOMAX DÚO,"

10 g
27 g 
",Caninos
PARACANIS TABLETAS,"

150 mg
144 mg
50 mg",Caninos
BAÑO SECO TE CUIDO,"
",Caninos y felinos
LOCIÓN HEMBRAS TE CUIDO,"
",Caninos
LOCIÓN MACHOS TE CUIDO,"
",Caninos
DUFLOSAN 30% SOLUCIÓN INYECTABLE,"

30 g",Bovinos y porcinos
DESINVET,"

62,5 ml",No aplica
GALLIPRANT 100 mg. ,"

100 mg",Caninos. 
PURE PAWS,"

52,1 ml",Caninos y felinos
ALCOHOL ANTISÉPTICO,"

72,9 ml",Caninos y felinos
STOP PAR PUPPY,"

14,5 mg


15,0 mg",Caninos
SEMINTRA,"

4 mg",Felinos
TEST DE PRUEBA RÁPIDA PARA DETECCIÓN DE PARVOVIRUS Ag,"                         0,54µl
 0,8µl
 0,8µl
 0,05g                                                                                              
1 ml                   
1 unidad                                                                                                                                                  
 1 unidad
",Caninos
