No REGISTRO,FECHA OTORGADO REGISTRO Y No RESOLUCION,FECHA MODIFICACION  Y Nª RESOLUCION,NOMBRE DEL PRODUCTO,NOMBRE EMPRESA,INGREDIENTE ACTIVO,CONCENTRACION,CAT TOXIC,CLASE DE PRODUCTO,TIPO FOR.,PAIS DE ORIGEN DEL PRODUCTO FORMULADO,CULTIVO,Name
2261,25-03-2019/ 3382,,ACCENT 75 XP,DUPONT DE COLOMBIA S.A,NICOSULFURON,750 g/Kg,III,HERBICIDA,WG,ESTADOS UNIDOS,MAIZ,Table_58
2262,04-09-2018/ 31576,,SABUESO,LA CORPORACION DEL AGRO S.A.S,IPRODIONA,500 g/Kg,III,FUNGICIDA,WG,ESPAÑA,"ROSA, TOMATE",Table_58
2263,31-07-2018/ 29139,,MULIGAN,LA CORPORACION DEL AGRO S.A.S,PYRIPROXYFEN,100 g/L,II,INSECTICIDA,EC,ESPAÑA,"ROSA, TOMATE",Table_58
2264,10-08-2018/ 29822,,PACLOT,LA CORPORACION DEL AGRO S.A.S,PACLOBUTRAZOL,250 g/L,II,REGULADOR FISIOLOGICO,SC,ESPAÑA,"MAIZ, AGUACATE",Table_58
2265,27-08-2018/ 30874,25-11-2019/ 18901,DRASTIKO 800 WG,AGROCENTRO COLOMBIA S.A.S,FIPRONIL TIAMETOXAM CYPROCONAZOLE,"200 g/Kg
300 g/Kg
300 g/Kg",III,INSECTICIA FUNGICIDA,WG,CHINA,"ARROZ,  CAFÉ,  ROSA",Table_58
2267,04-09-2018/ 31570,24-06-219/ 8500,CAMPO KAZ 20 SL,CAMPO CIENCIA AGRO S.A.S,KASUGAMYCIN,20 g/L,II,FUNGICIDA,SL,CHINA,"ARROZ, TOMATE",Table_58
2268,10-08-2018/ 29850,05-05-2019/ 5905,CAMPO TRY 75 WP,CAMPO CIENCIA AGRO S.A.S,TRICYCLAZOL,750 g/Kg,II,FUNGICIDA,WP,CHINA,ARROZ,Table_59
2269,30-07-2018/ 29102,,MIRAYO 80 WG,ADAMA ANDINA B.V SUCURSAL COLOMBIA,PROPANIL,800 g/Kg,III,HERBICIDA,WG,ESTADOS UNIDOS INDIA,ARROZ,Table_59
2270,22-08-2018/ 30507,16-04-2020/ 065429,DELTAPOINT 2.5 WP,POINT DE COLOMBIA S.A.S,DELTAMETRINA,25 g/Kg,III,INSECTICIDA,WG,CHINA,"PAPA, POTREROS",Table_59
2271,12-09-2018/ 32041,"27-12-2019/ 21741
31-01-2020/ 61146",BENXI 350 SC,LATIN WEST S.A.S,EMAMECTIN BENZOATO FIPRONIL BIFENTRINA,"50 g/L
100 g/L
200 g/L",II,INSECTICIDA,SC,CHINA,"MAIZ,  PAPA,  ROSA",Table_59
2272,31-07-2018/ 29166,24-06-2019/ 8485,CARBENDAZIM FEDEARROZ 500 SC,FEDERACION NACIONAL DE ARROCEROS FEDEARROZ,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,CHINA COLOMBIA ALEMANIA,"ARROZ,  TOMATE,  CAFÉ, ROSA",Table_59
2273,17-09-2019/ 14502,16-04-2020/  065452,FELINO 400 EC,FEDERACIÓN NACIONAL DE ARROCEROS - FEDEARROZ,PENDIMETALINA,400 g/L,III,HERBICIDA,EC,COLOMBIA INDIA,"ARROZ,  MAIZ,  CEBOLLA DE BULBO",Table_59
2274,31-07-2018/ 29169,04-10-2019/ 15725,BUTACLOR 600 FEDEARROZ,FEDERACION NACIONAL DE ARROCEROS FEDEARROZ,BUTACLOR,600 g/L,III,HERBICIDA,EC,COLOMBIA INDIA CHINA,ARROZ,Table_59
2275,31-07-2018/ 29170,,PROPANIL 500 FEDEARROZ,FEDERACION NACIONAL DE ARROCEROS FEDEARROZ,PROPANIL,500 g/L,II,HERBICIDA,EC,COLOMBIA,ARROZ,Table_59
2276,31-07-2018/ 29172,27-03-2020/ 064645,AMIFED 200 EC,FEDERACION NACIONAL DE ARROCEROS FEDEARROZ,AMITRAZ,200 g/L,II,ACARICIDA,EC,COLOMBIA CHINA,"CLAVEL,  NARANJA",Table_59
2277,10-08-2018/ 29821,11-12-2019/ 20087,"GLIFOSATO AGOCONSULTORIA
75.7 SG",AGROCONSULTORIAS S.A.S,GLIFOSATO,688 g/Kg,III,HERBICIDA,SG,CHINA,PASTURAS,Table_59
2278,14-08-2018/ 30045,,CAUDRON SC,INTEROC S.A SUCURSAL COLOMBIA,FLUAZINAM,500 g/L,III,FUNGICIDA,SC,ECUADOR,ROSA,Table_59
2279,22-08-2018/ 30604,,METSULFURON ARAMA 600 WG,DISTRIBUCIONES ARAMA LTDA,METSULFURON METYL,600 g/Kg,III,HERBICIDA,WG,CHINA,POTREROS,Table_59
2280,31-08-2018/ 31317,,PILARSATO SL,PILARQUIM DE COLOMBIA LTDA,GLIFOSATO,480 g/L,II,HERBICIDA,SL,CHINA,"CAFÉ , ARROZ,  POTREROS",Table_60
2281,31-08-2018/ 31318,"28-06-2019/ 8787
04-06-2020/ 069320",AGRODYNE SL,ELECTROQUIMICA WEST S.A,COMPLEJO YODO POLIETOXI POLIPROPOXI POLIETOXI-ETANOL ACIDO YODHÍDRICO,"132 g/L
15.9 g/L",III,FUNGICIDA,SL,COLOMBIA,"ARROZ, TOMATE, BANANO",Table_60
2282,30-08-2018/ 31178,20-05-2019/ 6739,BANAMIX,BANAPLAST S.A.S,BIFENTRINA PYRIPROXIFEN,"2 g/Kg
10 g/Kg",III,INSECTICIDA,BOLSAS PLASTICAS IMPREGNADAS CON INSECTICIDA,COLOMBIA,BANANO,Table_60
2283,30-08-2018/ 31177,,BANACLOR,BANAPLAST S.A.S,CLORPIRIFOS,10 g/Kg,III,INSECTICIDA,BOLSAS PLASTICAS IMPREGNADAS CON INSECTICIDA,COLOMBIA,"BANANO,  PLATANO",Table_60
2284,22-08-2018/ 30605,12-02-2020/ 61935,HELOSATE 480 SL,HELM ANDINA S.A.S,GLIFOSATO,480 g/L,III,HERBICIDA,SL,CHINA,POTREROS,Table_60
2286,12-09-2018/ 32045,25-11-2019/ 18872,XALER 75 WG,UPL COLOMBIA S.A.S,MANCOZEB CHLOROTALONIL,"625 g/Kg
125 g/kg",II,FUNGICIDA,WG,INDIA COLOMBIA,"BANANO, PAPA, TOMATE, LULO, TOMATE DE ARBOL, UCHUVA, AJI DULCE, AJI, PIMENTON AGUACATE",Table_60
2287,21-11-2018/ 36373,12-02-2020/ 61968,"2,4 D AMINA 720 SL-MEZFER",MEZFER DE COLOMBIA LTDA,"2,4 D",720 g/L,II,HERBICIDA,SL,CHINA,POTREROS,Table_60
2288,31-08-2018/ 31328,21-08-2020/ 0763979,TACTIKO 480 EC,AGROCENTRO COLOMBIA S.A.S,CLOMAZONE,480 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_60
2289,31-08-2018/ 31320,"11-12-2019/ 20103
21-08-2020/ 073931",KOMPLOT 75 WG,AGROCENTRO COLOMBIA S.A.S,HEXAZINONA,95.5 g/Kg,III,HERBICIDA,WG,CHINA,"PIÑA,  CAÑA DE AZUCAR",Table_60
2290,31-08-2018/ 31319,12-12-2019/ 20305,CETAMISEN 250 SP,JEBSEN & JESSEN COLOMBIA S.A.S,ACETAMIPRID,250 g/Kg,II,INSECTICIDA,SP,CHINA,"ARROZ,  PAPA, TOMATE",Table_61
2291,31-08-2018/ 31321,02-10-2019/ 15632,POLYTHION SC,"ARYSTA LIFESCIENCES COLOMBIA S.A.S.,",AZUFRE,720 g/L,III,FUNGICIDA,SC,COLOMBIA,"ARROZ,  FRIJOL, CEBOLLA DE BULBO, CEBOLLA LARGA, CEBOLLIN, PUERRO, PAPA, ROSA",Table_61
2292,31-08-2018/ 31323,,KANPAI 5 SC,"ARYSTA LIFESCIENCES COLOMBIA S.A.S.,",CHROMAFENOZIDE,50 g/L,II,INSECTICIDA,SC,JAPON,TOMATE,Table_61
2293,11-09-2018/ 31919,,PROPINEB+CYMOXANIL 76 WP MEZFER,MEZFER DE COLOMBIA LTDA,PROPINEB CYMOXANIL,"700 g/Kg
60 g/Kg",III,FUNGICIDA,WP,CHINA,PAPA,Table_61
2294,11-09-2018/ 31921,,SAGITAR 250 SC,AGROCONSULTORIAS S.A.S,EPOXICONAZOL CARBENDAZIM,"125 g/L
125 g/L",III,FUNGICIDA,SC,CHINA,ARROZ,Table_61
2295,11-09-2018/ 31922,16-06-2020/ 069940,WAPPO 5 SG,AVGUST COLOMBIA SAS,EMAMECTIN BENZOATO,50 g/Kg,III,INSECTICIDA,SG,CHINA,TOMATE,Table_61
2296,11-09-2018/ 31923,,IROQUES 240 EC,AGROCONSULTORIAS S.A.S,OXIFLUORFEN,240 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_61
2297,11-09-2018/ 31924,,MIMAC 500 SC,AGROCONSULTORIAS S.A.S,AZOXYSTROBIN FLUTRIAFOL,"250  g/L
250 g/L",III,FUNGICIDA,SC,CHINA,ARROZ,Table_61
2298,11-09-2018/ 31926,,BENTAZON AGROCONSULTORIAS 480 SL,AGROCONSULTORIAS S.A.S,BENTAZON,480 g/L,II,HERBICIDA,SL,CHINA,ARROZ,Table_61
2299,11-09-2018/31930,,OSAGE 560 SC,AGROCONSULTORIAS S.A.S,AZOXYSTROBIN CLOROTALONIL,"60 g/L
500 g/L",III,FUNGICIDA,SC,CHINA,TOMATE,Table_61
2300,23-10-2018/ 34766,16-07-2019/ 9907,FLORAMITE 50 WG,ARYSTA LIFESCIENCE COLOMBIA S.A.S,BIFENAZATE,500 g/Kg,III,ACARICIDA,WP,ESTADOS UNIDOS,"ARROZ, CLAVEL,  PAPAYA, ROSA,  AGUACATE",Table_62
2301,12/10/2018/ 34202,08-05-2019/ 6059,ROYAL GOLD SC,HANSEANDINA LIMITADA,FAMOXADONE,90 g/L,III,FUNGICIDA,SC,CHINA,PAPA,Table_62
2302,20-09-2018/ 32563,,FASSER 635 SC,ANASAC COLOMBIA LTDA,CLOROTALONIL DIFENOCONAZOL,"575 g/L
60 g/L",III,FUNGICIDA,SC,CHINA CHILE,"TOMATE,  TOMATE DE ARBOL",Table_62
2303,20-09-2018/ 32562,,FORJA 420 SC,ANASAC COLOMBIA LTDA,IMIDACLOPRID LUFENURON,"350 g/L
70 g/L",II,INSECTICIDA,SC,CHILE CHINA,"ARROZ, TOMATE, SOYA",Table_62
2304,12-10-2018/ 34203,"11-04-2019/ 4703
12-12-2019/ 20333",BLAST PRO®EC,HANSEANDINA LIMITADA,SPIROXAMINA MYCLOBUTANIL,"600 g/L
60 g/L",II,FUNGICIDA,EC,CHINA,"ARROZ, ROSA",Table_62
2305,21-12-2018/ 39488,,GASTION FT,FITOGRANOS LTDA,FOSFURO DE ALUMINIO,570 g/Kg,IA,INSECTICIDA,FT,CHINA BRASIL,"HARINA DE TRIGO, ALMACENADA,  GRANOS DE ARROZ ALMACENADOS, GRANOS DE MAIZ ALMACENADOS,
PAPA ALMACENADA",Table_62
2306,19-10-2018/ 34581,,DIAXON EC,AGRO-LEAD COLOMBIA SAS,OXADIAZON,250 g/L,III,HERBICIDA,EC,CHINA TURQUIA,ARROZ,Table_62
2308,20-09-2018/ 32611,,OKUN 250 SC,PHYTOCARE S.A.S,QUINCLORAC,250 g/L,II,HERBICIDA,SC,CHINA,ARROZ,Table_62
2309,07-11-2018/ 35672,11-04-2019/ 4697,TRIVOR 310 DC,ADAMA ANDINA BV SUCURSAL COLOMBIA,ACETAMIPRID PYRIPROXYFEN,"186 g/L
124 g/L",II,INSECTICIDA,DC,ISRAEL COLOMBIA,"FRIJOL, TOMATE, ROSA, CRISANTEMO",Table_62
2310,20-09-2018/ 32612,10-12-2018/ 37986,BOSCARA 500 SC,ROTAM AGRO COLOMBIA S.A.S,BOSCALID,500 g/L,III,FUNGICIDA,SC,CHINA TAIWAN,BANANO,Table_62
2311,20-10-2018/ 34648,16-04-2020 065430,EQUATION PRO,DUPONT DE COLOMBIA S.A,FAMOXADONE CYMOXANIL,"225 g/Kg
300 g/Kg",III,FUNGICIDA,WG,FRANCIA,"PAPA, TOMATE, CEBOLLA VID",Table_63
2312,30-10-2018/ 35255,,MAFLU 250 SC,AGRO-LEAD COLOMBIA S.A.S,FLUTRIAFOL,250 g/L,II,FUNGICIDA,SC,CHINA,ARROZ,Table_63
2313,10-12-2018/ 38011,,COLUMBUS 80 WP,UPL COLOMBIA S.A.S,MANCOZEB,800 g/Kg,III,FUNGICIDA,WP,INDIA COLOMBIA,"ARROZ, TOMATE,  PAPA",Table_63
2314,20-12-2018/ 39931,,SERPICO 40 WP,PHYTOCARE S.A.S,MYCLOBUTANIL,400 g/Kg,III,FUNGICIDA,WP,CHINA,ARROZ,Table_63
2316,21-12-2018/ 39480,,KENJA® 400 SC,ISHIHARA COLOMBIA LTDA,ISOFETAMID,400 g/L,II,FUNGICIDA,SC,JAPON ESTADOS UNIDOS,ROSA,Table_63
2318,27-10-2018/35066,,GARRA 400 EC,AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO SA AGROSER SA,PENDIMETHALIN,400 g/L,III,HERBICIDA,EC,VENEZUELA CHINA COLOMBIA,ARROZ,Table_63
2317,19-12-2018/ 39126,,ET-HERB®2.5 EC,NIHON NOHYAKU ANDINA S.A.S,PYRAFLUFEN ETHYL,25 g/L,II,HERBICIDA,EC,JAPON,MAIZ,Table_63
2319,07-11-2018/ 35687,,CLOROTALONIL CRL 720 SC,CLABE REPRESENTACIONES COLOMBIANAS LTDA CLABEREP LTDA,CLOROTALONIL,720 g/L,II,FUNGICIDA,SC,CHINA,ARROZ,Table_63
2320,27-10-2018/ 35046,,BELANTY SC,BAS QUIMICA COLOMBIANA S.A,MEFENTRIFLUCONAZOLE,400 g/L,III,FUNGICIDA,SC,BRASIL ESPAÑA,ARROZ,Table_63
2321,25-02-2019/ 1736,02-05-20197 5860,ADHEROLLA 325 SC,RAINBOW AGROSCIENCES S.A.S,"AZOXYSTROBIN DIFENOCONAZOLE
318 de 365","200 g/L
125 g/L",III,FUNGICIDA,SC,CHINA,ARROZ,Table_63
2322,16-12-2018/ 38591,30-03-2020/ 064693,AGROPROPANIL 48 EC,RICECO INTERNATIONAL COLOMBIA S.A.S,PROPANIL,480 g/L,III,HERBICIDA,EC,COLOMBIA - INDIA - ESTADOS UNIDOS- VIETNAM,POTREROS,Table_63
2323,16-12-2018/ 38614,,BRIOSO 80 WG,RICECO INTERNATIONAL COLOMBIA S.A.S,PROPANIL,800 g/Kg,III,HERBICIDA,WG,INDIA GUATEMALA,POTREROS,Table_63
2324,20-11-2018/ 36239,"12-07-2019/ 9631
13-09-2019/ 14258",ODYSSEY 480 EC,FMC COLOMBIA S.A.S,PETHOXAMIDE,480 g/L,II,HERBICIDA,EC,DINAMARCA,ARROZ,Table_63
2325,16-12-2018/ 38604,30-03-2020/ 064698,WHAM EZ,RICECO INTERNATIONAL COLOMBIA S.A.S,PROPANIL,480 g/L,III,HERBICIDA,SC,ESTADOS UNIDOS COLOMBIA,ARROZ,Table_63
2326,30-10-2018/ 35262,,CLORFOS® CHALVER 48 EC,LABORATORIOS CHALVER DE COLOMBIA S.A,CLORPYRIFOS,480 g/L,II,INSECTICIDA,EC,COLOMBIA,PAPA,Table_63
2327,10-12-2018/ 37977,,CARBENDAZIM WP 500 SC,AGRO-LEAD COLOMBIA S.A.S,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,CHINA TURQUIA,ARROZ,Table_63
2328,20/11/2018/2328,,BELYAN® SC,BASF QUIMICA COLOMBIANA S.A,MEFENTRIFLUCONAZOLE PYRACLOSTROBIN  FLUXAPYROXAD,"133.3 g/L
177.8 g/L
88.9 g/L",III,FUNGICIDA,SC,BRASIL ESPAÑA,CAFÉ,Table_63
2329,05-11-2018/ 35493,,MELYRA®SC,BASF QUIMICA COLOMBIANA S.A,MEFENTRIFLUCONAZOLE PYRACLOSTROBIN,"200 g/L
200g/L",II,FUNGICIDA,SC,BRASIL ESPAÑA,"CAFÉ, TOMATE",Table_63
2330,10-12-2018/ 38001,,EMBLEMA 480 SL,SKYLINE COLOMBIA S.A.S,GLIFOSATO,360 g/L,II,HERBICIDA,SL,CHINA,"AAROZ,  MAIZ,  PAPA",Table_63
2331,10-11-2018/ 35900,,PROGRO WP,ADAMA ANDINA BV SUCURSAL COLOMBIA,"CARBOXIM THIRAM
319 de 365","200 g/kg
200 g/kg",III,FUNGICIDA,WP,COLOMBIA,ROSA,Table_63
2332,10-11-2018/ 35901,,BUMPER 25 EC,ADAMA ANDINA BV SUCURSAL COLOMBIA,PROPICONAZOLE,250 g/L,II,FUNGICIDA,EC,COLOMBIA,BANANO,Table_63
2333,21-11-2018/ 36375,26-11-2019/ 19047,ORTHENE 75% SP,ADAMA ANDINA B.V SUCURSAL COLOMBIA,ACEFATO,750 g/Kg,III,INSECTICIDA,SP,COLOMBIA CHINA,"TOMATE,  CEBOLLA,  PAPA, FRIJOL, ROSA",Table_63
2334,10-11-2018/ 35902,,AFALON 500 SC,ADAMA ANDINA BV SUCURSAL COLOMBIA,LINURON,500 g/L,II,HERBICIDA,SC,ISRAEL COLOMBIA,ZANAHORIA,Table_63
2336,21-11-2018/ 36370,,CURBIX® FUSION,BAYER S.A,IMIDACLOPRID ETHIPROLE,"100 g/L
100 g/L",II,INSECTICIDA,SC,COLOMBIA GUATEMALA BRASIL ARGENTINA FRANCIA ALEMANIA,CAFÉ,Table_63
2337,18-12-2018/ 38826,,FEUDAL ®TOP,TECNOQUIMICAS SA,AZOXYSTROBIN DIFENOCONAZOLE,"200 g/L
125 g/L",II,FUNGICIDA,SC,CHINA COLOMBIA,ROSA,Table_63
2338,07-11-2018/ 35690,,FITORAZ 76 WP,BAYER SA,PROPINEB CYMOXANIL,"700 g/Lg
60 g/kg",III,FUNGICIDA,WP,GUATEMALA COLOMBIA,"PAPA, TOMATE, TOMATE DE ARBOL, LULO,, ARVEJA",Table_63
2339,07-11-2018/ 35691,,SIGANEX 60 SC,BAYER S.A,PIRYMETANIL,600 g/L,III,FUNGICIDA,SC,GUATEMALA COLOMBIA,"BANANO,  PLATANO,  UCHUVA",Table_63
2340,07-11-2018/35692,31-01-2020/ 61169,RONSTAR 38 SC,BAYER SA,OXADIAZON,380 g/L,II,HERBICIDA,SC,GUATEMALA COLOMBIA ARGENTINA BRASIL FRANCIA,ARROZ,Table_63
2341,07-11-2018/35693,,NATAL 800 WG,LATIN WEST SAS,PYRIMETANIL CLOROTALONIL,"300 g/kg
500 g/kg",III,FUNGICIDA,WG,CHINA,"ROSA, TOMATE, UCHUVA,
TOMATE DE ARBOL",Table_63
2342,07/11/2018/35694,,ZHUHAI 60 WG,LATIN WEST SAS,EMAMECTIN BENZOATO IMIDACLOPRID,"50 g/kg
350 g/kg",III,INSECTICIDA,WG,CHINA,"ROSA,  MAIZ",Table_63
2344,10-12-2018/ 38008,14-08-2019/ 12444,MERCAMIL ® 220 CS,AGROQUIICOS SEMILLAS Y EQUIPOS DE RIEGO AGROSER S.A,"METHOMYL
320 de 365",247 g/L,IB,INSECTICIDA,SL,VENEZUELA COLOMBIA CHINA,"ARROZ,  PAPA",Table_63
2345,16-12-2018/ 38603,"27-12-2019/ 21746
31-01-2020/ 61143",ANDOKE 250 WG,LATIN WEST S.A.S,TIAMETOXAM EMAMECTIN BENZOATO,"200 g/Kg
50 g/Kg",III,INSECTICIDA,WG,CHINA,"MAIZ,  ROSA, ARROZ",Table_63
2346,21-11-2018/ 36376,"12-12-2019/ 20319
21-08-2020/ 073925",FRONTAL 250 EC,AGROCENTRO COLOMBIA SAS,PROPICONAZOL,250 g/L,III,FUNGICIDA,EC,CHINA,"ARROZ, CAFÉ, BANANO",Table_63
2347,21-11-2018/ 36378,21-08-2020/ 073981,VOLTIO 400 WP,AGROCENTRO COLOMBIA SAS,MYCLOBUTANIL,400 g/Kg,III,FUNGICIDA,WP,CHINA,"ARROZ,  TOMATE,  BANANO",Table_63
2348,11-03-2019/ 2508,,DOMINO,PROQUIMUR S.A.S,PYRACLOSTROBIN EPOXICONAZOLE,"133 g/L
50 g/L",III,FUNGICIDA,SE,URUGUAY,MAIZ,Table_63
2349,21-11-2018/ 36369,,"2,4 D AMINA 720 SL",AGRICENSE LIMITADA,"ACIDO 2,4-D",720 g/L,II,HERBICIDA,SL,CHINA,PASTOS,Table_63
2350,11-03-2019/ 2490,,SIPAN ®100 SL,TECNOQUIMICAS S.A,CYPROCONAZOLE,100 g/L,II,FUNGICIDA,SL,CHINA COLOMBIA,CLAVEL,Table_63
2351,20-11-2018/ 36244,"28-11-2019/ 19268
21-08-2020/ 073932",MAZIK 400 EC,AGROCENTRO COLOMBIA S.A.S,PENDIMETHALINA,400 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_63
2352,10-12-2018/ 37948,,LAMPO FLO SC,PROQUIMUR S.A.S,FIPRONIL,250 g/L,II,INSECTICIDA,SC,URUGUAY,"ARROZ, PAPA",Table_63
2353,12-12-2018/ 38320,,NUKAK 580 SG,LATIN WEST S.A.S,PARAQUAT,580 g/L,II,HERBICIDA,SG,CHINA HONG KONG,MAIZ,Table_63
2354,24-11-2018/ 36644,,FENOTHION 50 EC,AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO SA AGROSER SA,FENITROTHION,500 g/L,II,INSECTICIDA,EC,CHINA,"PAPA, TOMATE",Table_63
2355,16-12-2018/ 38596,11-03-2020/ 63461,KILLMAX 250 WG,LATIN WEST S.A.S,TEFLUBENZURON EMAMECTIN BENZOATO,"200 g/Kg
50 g/Kg",III,INSECTICIDA,WG,CHINA,"ROSA, AGUACATE, MAIZ",Table_63
2356,11-03-2019/ 2489,"31-01-2020/ 61133
02-04-2020/  064979",FOSETAL 80 WP,QUIMICOS OMA S.A,FOSETYL ALUMINIO,800 g/Kg,III,FUNGICIDA,WP,CHINA,"PAPA, TOMATE DE ARBOL, PIÑA, ROSA",Table_64
2357,24-11-2018/ 36645,04-05-2020/  066715,PRODION 500 SC,QUIMICOS OMA S.A,IPRODIONE,500 g/L,III,FUNGICIDA,SC,COLOMBIA,"CLAVEL, POMPON, TOMATE, ARROZ, ROSA",Table_64
2358,12-12-2018/ 38362,,VARISTO® SL,BASF QUIMICA COLOMBIANA S.A,BENTAZON IMAZAMOX,"600 g/L
128 g/L",II,HERBICIDA,SL,BRASIL,SOYA,Table_64
2359,20-12-2018/ 39208,11-04-2019/ 4706,EYETAK 450,LA CORPORACION DEL AGRO S.A.S,PROCHLORAZ,450  g/L,II,FUNGICIDA,EC,IRLANDA,ROSA,Table_64
2360,11-12-2018/ 38153,,TRIMATON 51 SL,ISAGRO COLOMBIA S.A.S,METAM SODIO,510 g/L,II,FUNGICIDA,SL,CHINA,"ROSA,  CLAVEL",Table_64
2362,10-12-2018/ 37974,,CIPERMETRINA MP 200 EC,AGRO-LEAD COLOMBIA S.A.S,CIPERMETRINA,200 g/L,III,INSECTICIDA,EC,CHINA TURQUIA,PAPA,Table_64
2364,04-03-2019/ 2033,,GESAPRIM NUEVE 0 90 WG,SYNGENTA S.A,ATRAZINA,900 g/Kg,III,HERBICIDA,WG,ESTADOS UNIDOS,"MAIZ,
CAÑA DE AZUCAR",Table_64
2365,16-12-2018/ 38598,,FLUBENZULAC 25 WP,AGROLAC ANDINA S.A.S,DIFLUBENZURON,264 g/Kg,II,INSECTICIDA,WP,TAIWAN CHINA ESPAÑA,ARROZ,Table_64
2366,16-12-2018/ 38602,,EPOXIGROL 12.5 SC,AGROLAC ANDINA S.A.S,EPOXICONAZOLE,129 g/Kg,III,FUNGICIDA,SC,TAIWAN CHINA ESPAÑA,MAIZ,Table_64
2367,12-12-2018/ 38360,13-08-2020/ 073292,HERBIGLIFO 48 SL,ANASAC COLOMBIA LTDA,GLIFOSATO,480 g/L,III,HERBICIDA,SL,CHILE CHINA,"CAFÉ, TOMATE",Table_64
2369,19-12-2018/ 38899,02-04-2020/ 064969,MATCH 50 EC,SYNGENTA S.A,LUFENURON,50 g/L,III,INSECTICIDA,EC,COLOMBIA,"MAIZ , SOYA, TOMATE",Table_64
2370,01-01-2019/ 008,11-11-2019/ 18015,ALIENS 50 WG,TALANU CHEMICAL LTDA,METSULFURON METHYL,600 g/Kg,III,HERBICIDA,WG,CHINA,PASTURAS,Table_65
2371,01-01-2019/ 0041,,FOMEHERB 250 SL,RAINBOW AGROSCIENCES S.A.S,FOMESAFEN,250 g/L,III,HERBICIDA,SL,CHINA,SOYA,Table_65
2372,04-03-2019/ 2029,22-07-2020/  071905,FUNGITANE 430 SC,AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A AGROSER S.A,MANCOZEB,430 g/L,III,FUNGICIDA,SC,CHINA INDIA COLOMBIA,"FRIJOL,  ARROZ",Table_65
2373,09-04-2019/ 4371,,BANAMIX PLUSS,BANAPLAST S.A.S,BIFENTRINA PYRIPROXIFEN,"2 g/Kg
20 g/Kg",III,INSECTICIDA,BOLSAS PLASTICAS IMPREGNADAS CON INSECTICIDA,COLOMBIA,BANANO,Table_65
2374,20-12-2019/ 39349,11-08-2020/  073034,CELEBRATE,ARYSTA LIFESCIENCE COLOMBIA S.A.S,CLETHODIM QUIZALOFOP-P-ETHYL,"240 g/L
120 g/L",II,HERBICIDA,EC,BRASIL FRANCIA,"SOYA, FRIJOL, ARROZ. PALMA DE ACEITE",Table_65
2376,20/12/2018/ 39349,,STINGER 350 SC,AGRICENTRO COLOMBIA S.A.S,QUINCLORAC,350 g/L,II,HERBICIDA,SC,CHINA,ARROZ,Table_65
2378,22-02-2019/ 1706,02-05-2019/ 5856,ZERO HONGOS DIFENOCONAZOLE+PROPICONAZ OLE 500 EC,HALCON AGROINDUSTRIAL S.A.S,DIFENOCONAZOLE PROPICONAZOLE,"250 g/L
250 g/L",III,FUNGICIDA,EC,CHINA,ARROZ,Table_65
2379,28-03-2019 / 3650,20-05-2019/ 6761,ZERO HONGOS FRUTIAFOL+ AZOXYSTROBIN 500 SC,HALCON AGROINDUSTRIAL S.A.S,FRUTIAFOL AZOXYSTROBIN,"250 g/L
250 g/L",III,FUNGICIDA,SC,CHINA,ARROZ,Table_65
2380,09-04-2019/ 4391,,ZERO INSECTOS LAMBDA- CIHALOTRINA 250 CS,HALCON AGROINDUSTRIAL LTDA,LAMBDA-CIHALOTRINA,250 g/L,II,INSECTICIDA,CS,CHINA,TOMATE,Table_65
2381,29-03-2019/ 3672,,ZERO MALEZAS GLUFOSINATO DE AMONIO 200 SL,HALCON AGROINDUSTRIAL LTDA,GLUFOSINATO DE AMONIO,200 g/L,III,HERBICIDA,SL,CHINA,BANANO,Table_65
2382,11-03-2019/ 2499,02-05-2019/ 5869,ZERO HONGOS CYPROCONAZOLE 100 SL,HALCON AGROINDUSTRIAL SAS,CYPROCONAZOLE,100 g/L,III,FUNGICIDA,SL,CHINA,CAFÉ,Table_65
2383,22-02-2019/ 1703,"11-04-2019/ 4707
11-12-2019/ 20096
21-08-2020/ 073930",KOLAPSO 365 SC,AGROCENTRO COLOMBIA S.A.S,KRESOXIM METIL  TEBUCONAZOLE,"125 g/L
240 g/L",III,FUNGICIDA,SC,CHINA,"ARROZ,  TOMATE,  ROSA",Table_66
2384,31/01/2019 /924,30-03-2020/ 064695,PROPANIL RICECO 48 EC,RICECO INTERNATIONAL COLOMBIA S.A.S,PROPANIL,480 g/L,III,HERBICIDA,EC,INDIA COLOMBIA ESTADOS UNIDOS VIETNAM,ARROZ,Table_66
2385,06/02/2019/1097,30-03-2020/  064696,PROPATOX 48 EC,RICECO INTERNATIONAL COLOMBIA SAS,PROPANIL,480 g/L,III,HERBICIDA,EC,INDIA COLOMBIA ESTADOS UNIDOS VIETNAM,ARROZ,Table_66
